id,guindaste_id,status,version,created_by,created_at,published_at,archived_at
a26b70e8-07b8-46b6-adc0-5a628f67ddb1,88,published,1,a6f39e52-3a79-4c09-b5e7-6a193a6eca26,2026-03-26 10:24:40.967247+00,2026-03-26 10:25:33.013172+00,
b23b52ff-509e-4c9f-9bdd-18c250996785,85,draft,1,a6f39e52-3a79-4c09-b5e7-6a193a6eca26,2026-04-12 19:38:36.596509+00,,
