id,modelo,ano,cor,cliente_id,created_at,updated_at,tipo,marca,voltagem,observacoes
342,34,2002,,647,2026-05-05 16:42:51.560409+00,2026-05-05 16:42:51.560409+00,3/4,Mercedes-Benz,12V,
344,IVECO TECTOR 240,2009,,649,2026-05-06 14:49:47.178941+00,2026-05-06 14:49:47.178941+00,Truck,Outra,12V,
347,PREENCHER,,,652,2026-05-07 19:44:12.374594+00,2026-05-07 19:44:12.374594+00,PREENCHER,PREENCHER,12V,PROPOSTA PRELIMINAR - Dados do veículo a confirmar com o cliente
352,VM 220,2013,,657,2026-05-08 20:52:44.277519+00,2026-05-08 20:52:44.277519+00,Toco,Volvo,24V,⚠️ PROPOSTA PRELIMINAR - Dados do veículo a confirmar com o cliente
353,VM 220,2013,,658,2026-05-08 20:53:59.90947+00,2026-05-08 20:53:59.90947+00,Toco,Volvo,24V,⚠️ PROPOSTA PRELIMINAR - Dados do veículo a confirmar com o cliente
354,VM 220,2013,,659,2026-05-08 20:56:57.165982+00,2026-05-08 20:56:57.165982+00,Toco,Volvo,24V,⚠️ PROPOSTA PRELIMINAR - Dados do veículo a confirmar com o cliente
355,Constellation 17.230,2020,,660,2026-05-09 00:07:14.099859+00,2026-05-09 00:07:14.099859+00,Truck,Volkswagen,24V,
356,0,2025,,661,2026-05-11 17:04:26.367749+00,2026-05-11 17:04:26.367749+00,Bitruck,Scania,24V,
357,Constelation 17190,2020,,662,2026-05-11 20:10:14.264054+00,2026-05-11 20:10:14.264054+00,Truck,Volkswagen,12V,Apenas para ilustração
358,Constelation 17190,2020,,663,2026-05-11 20:17:33.198962+00,2026-05-11 20:17:33.198962+00,Truck,Volkswagen,12V,Simulação
359,17190,2020,,664,2026-05-11 20:21:30.593452+00,2026-05-11 20:21:30.593452+00,Truck,Volkswagen,12V,
360,17190,2020,,665,2026-05-11 20:25:07.641724+00,2026-05-11 20:25:07.641724+00,Truck,Chevrolet,12V,
361,17190,2020,,666,2026-05-11 20:27:14.462843+00,2026-05-11 20:27:14.462843+00,Truck,Volkswagen,12V,
362,17190,2020,,667,2026-05-11 20:41:58.34791+00,2026-05-11 20:41:58.34791+00,Truck,Volkswagen,12V,
363,17190,2020,,668,2026-05-11 20:44:57.812058+00,2026-05-11 20:44:57.812058+00,Truck,Volkswagen,12V,
367,NAO TEM,2013,,672,2026-05-12 11:48:55.92233+00,2026-05-12 11:48:55.92233+00,Bitruck,Outra,24V,
368,8-150,2003,,673,2026-05-12 12:01:21.986425+00,2026-05-12 12:01:21.986425+00,3/4,Volkswagen,12V,
369,cargo 1722,2003,,674,2026-05-12 12:51:27.151831+00,2026-05-12 12:51:27.151831+00,Truck,Ford,24V (2 baterias),
370,VM220,,,676,2026-05-13 11:25:04.657742+00,2026-05-13 11:25:04.657742+00,3/4,Volvo,24V,caminhao 2026
371,1518,1991,,677,2026-05-14 11:56:34.129+00,2026-05-14 11:56:34.129+00,Truck,Mercedes-Benz,12V,
372,volvo,2014,,678,2026-05-14 12:00:24.482919+00,2026-05-14 12:00:24.482919+00,3/4,Volvo,24V,PROPOSTA PRELIMINAR - Dados do veículo a confirmar com o cliente possui 2 caminhoes um volvo vm 270(2014) e um mercedez 1518
373,VER,2014,,680,2026-05-14 17:01:03.729254+00,2026-05-14 17:01:03.729254+00,3/4,Volvo,12V,
374,608,1990,,682,2026-05-14 18:18:49.56719+00,2026-05-14 18:18:49.56719+00,3/4,Mercedes-Benz,12V,
375,608,2009,,683,2026-05-14 18:23:07.481413+00,2026-05-14 18:23:07.481413+00,3/4,Mercedes-Benz,12V,
376,14000,1996,,689,2026-05-16 17:21:42.89145+00,2026-05-16 17:21:42.89145+00,Truck,Ford,24V,"Saber voltagem e ano do caminhao sera somado adptacao de voltagem (saida de força) "
