id,guindaste_id,regiao,preco
1912,41,rs-com-ie,122500.00
1913,41,rs-sem-ie,122500.00
1914,41,comercio-exterior,103700.00
1915,42,norte-nordeste,135000.00
1916,42,centro-oeste,126660.00
1917,42,sul-sudeste,135000.00
1918,42,rs-com-ie,135000.00
1919,42,rs-sem-ie,135000.00
1920,42,comercio-exterior,109950.00
1921,43,norte-nordeste,130790.00
1922,43,centro-oeste,122685.00
1923,43,sul-sudeste,130790.00
1924,43,rs-com-ie,130790.00
1925,43,rs-sem-ie,130790.00
1926,44,norte-nordeste,144377.00
1927,44,centro-oeste,135428.00
1928,44,sul-sudeste,144377.00
1929,44,rs-com-ie,144377.00
1930,44,rs-sem-ie,144377.00
1936,45,norte-nordeste,186203.00
1937,45,centro-oeste,173253.00
1938,45,sul-sudeste,186203.00
1939,45,rs-com-ie,186203.00
1940,45,rs-sem-ie,186203.00
1947,86,norte-nordeste,189950.00
1948,86,centro-oeste,181559.00
1949,86,sul-sudeste,189950.00
1950,86,rs-com-ie,189950.00
1951,86,rs-sem-ie,189950.00
1952,86,comercio-exterior,162500.00
1964,88,norte-nordeste,250000.00
1965,88,centro-oeste,235700.00
1966,88,sul-sudeste,250000.00
1967,88,rs-com-ie,250000.00
1968,88,rs-sem-ie,250000.00
1969,88,comercio-exterior,230000.00
1970,85,norte-nordeste,250500.00
1971,85,centro-oeste,236200.00
1972,85,sul-sudeste,250500.00
1973,85,rs-com-ie,250500.00
1974,85,rs-sem-ie,250500.00
1975,85,comercio-exterior,230000.00
1976,82,norte-nordeste,147793.55
1977,82,centro-oeste,138633.00
1978,82,sul-sudeste,147793.55
1979,82,rs-com-ie,147793.55
1980,82,rs-sem-ie,147793.55
1986,63,norte-nordeste,141574.00
1987,63,centro-oeste,132800.00
1988,63,sul-sudeste,141574.00
1989,63,rs-com-ie,141574.00
1990,63,rs-sem-ie,141574.00
1991,83,norte-nordeste,133620.00
1992,83,centro-oeste,125338.00
1993,83,sul-sudeste,133620.00
1994,83,rs-com-ie,133620.00
1995,83,rs-sem-ie,133620.00
1996,81,norte-nordeste,127286.00
1997,81,centro-oeste,119396.00
1998,81,sul-sudeste,127286.00
1999,81,rs-com-ie,127286.00
2000,81,rs-sem-ie,127286.00
2001,65,norte-nordeste,123631.00
2002,65,centro-oeste,115968.00
2003,65,sul-sudeste,123631.00
2004,65,rs-com-ie,123631.00
2005,65,rs-sem-ie,123631.00
2006,80,norte-nordeste,135112.00
2007,80,centro-oeste,126737.00
2008,80,sul-sudeste,135112.00
2009,80,rs-com-ie,135112.00
2010,80,rs-sem-ie,135112.00
2011,79,norte-nordeste,130410.00
2012,79,centro-oeste,122327.00
